variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-conflict-key,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-cas,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-fallback-lock,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-cid,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-shared-surface,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-rw-dependency,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-virtual-atom,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,admit-parallel,false,true,false,false,true,false
no-conflict-key,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-cas,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-fallback-lock,layer1-no-refinement-available,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-cid,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-shared-surface,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-rw-dependency,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-virtual-atom,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,admit-parallel,false,true,false,false,true,false
no-conflict-key,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-cas,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-fallback-lock,layer2-threshold-not-met,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-cid,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-shared-surface,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-rw-dependency,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-virtual-atom,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,admit-parallel,false,true,false,false,true,false
no-conflict-key,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-cas,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-fallback-lock,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer1,block,block,false,false,false,false,true,true
no-cid,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-shared-surface,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-rw-dependency,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-virtual-atom,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,admit-parallel,false,true,false,false,true,false
no-conflict-key,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-cas,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-fallback-lock,layer2-threshold-not-met,agr-benchmark,physical-overlap,layer2Adr,block,block,false,false,false,false,true,true
no-cid,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,parallel-safe-disjoint,agr-conflict-benchmark,compose-disjoint,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,read-write-dependency-freeze,agr-conflict-benchmark,rw-dependency,conflict,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-shared-surface,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-rw-dependency,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-conflict-key,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-cas,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,admit-parallel,false,false,false,false,true,false
no-fallback-lock,capsule-cid-drift-freeze,agr-conflict-benchmark,capsule-drift,conflict,block,block,false,false,false,false,true,true
no-cid,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,block,false,false,false,false,true,true
no-shared-surface,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,admit-parallel,false,false,false,false,true,false
no-rw-dependency,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,block,false,false,false,false,true,true
no-conflict-key,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,admit-parallel,false,false,false,false,true,false
no-cas,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,block,false,false,false,false,true,true
no-fallback-lock,shared-surface-blocked,agr-conflict-benchmark,shared-surface,conflict,block,block,false,false,false,false,true,true
no-cid,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,admit-parallel,false,false,false,false,true,false
no-shared-surface,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,block,false,false,false,false,true,true
no-rw-dependency,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,block,false,false,false,false,true,true
no-conflict-key,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,block,false,false,false,false,true,true
no-cas,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,admit-parallel,false,false,false,false,true,false
no-fallback-lock,cid-conflict-blocked,agr-conflict-benchmark,cid-conflict,conflict,block,block,false,false,false,false,true,true
no-cid,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-shared-surface,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-rw-dependency,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,admit-parallel,false,false,false,false,true,false
no-conflict-key,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-cas,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-fallback-lock,physical-overlap-steward,agr-conflict-benchmark,physical-overlap,conflict,block,block,false,false,false,false,true,true
no-cid,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-shared-surface,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-rw-dependency,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-conflict-key,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-cas,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,block,false,false,false,false,true,true
no-fallback-lock,orphan-lock-cleanup,agr-conflict-benchmark,orphan-lock,conflict,block,admit-parallel,false,false,false,false,true,false
no-cid,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-shared-surface,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-rw-dependency,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-virtual-atom,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-conflict-key,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-cas,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,block,false,false,false,false,true,true
no-fallback-lock,manual-override-collision,agr-conflict-benchmark,manual-override,conflict,block,admit-parallel,false,false,false,false,true,false
