variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-cas,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-same-atom-cid-blocked,agr-benchmark,cid-conflict,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,admit-parallel,false,true,false,false,true,false
no-shared-surface,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,block,false,false,false,false,true,true
no-rw-dependency,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,block,false,false,false,false,true,true
no-virtual-atom,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,block,false,false,false,false,true,true
no-conflict-key,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,block,false,false,false,false,true,true
no-cas,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,admit-parallel,false,true,false,false,true,false
no-fallback-lock,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,agrOff,block,block,false,false,false,false,true,true
no-cid,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,admit-parallel,false,true,false,false,true,false
no-shared-surface,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,block,false,false,false,false,true,true
no-rw-dependency,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,block,false,false,false,false,true,true
no-virtual-atom,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,block,false,false,false,false,true,true
no-conflict-key,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,block,false,false,false,false,true,true
no-cas,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,admit-parallel,false,true,false,false,true,false
no-fallback-lock,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer1,block,block,false,false,false,false,true,true
no-cid,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,admit-parallel,false,true,false,false,true,false
no-shared-surface,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,block,false,false,false,false,true,true
no-rw-dependency,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,block,false,false,false,false,true,true
no-virtual-atom,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,block,false,false,false,false,true,true
no-conflict-key,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,block,false,false,false,false,true,true
no-cas,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,admit-parallel,false,true,false,false,true,false
no-fallback-lock,compose-same-atom-cid-unresolvable,agr-benchmark,cid-conflict,layer2Adr,block,block,false,false,false,false,true,true
no-cid,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-shared-surface,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-rw-dependency,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-virtual-atom,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,admit-parallel,false,true,false,false,true,false
no-conflict-key,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cas,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-fallback-lock,compose-overlapping-hunks,agr-benchmark,physical-overlap,agrOff,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cid,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-shared-surface,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-rw-dependency,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-virtual-atom,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,admit-parallel,false,true,false,false,true,false
no-conflict-key,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cas,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-fallback-lock,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer1,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cid,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-shared-surface,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-rw-dependency,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-virtual-atom,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,admit-parallel,false,true,false,false,true,false
no-conflict-key,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cas,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-fallback-lock,compose-overlapping-hunks,agr-benchmark,physical-overlap,layer2Adr,merge-with-tool,merge-with-tool,false,false,false,false,true,true
no-cid,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-shared-surface,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-rw-dependency,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-virtual-atom,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-conflict-key,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cas,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-fallback-lock,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,agrOff,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cid,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-shared-surface,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-rw-dependency,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-virtual-atom,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-conflict-key,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cas,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-fallback-lock,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer1,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cid,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-shared-surface,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-rw-dependency,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-virtual-atom,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-conflict-key,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cas,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-fallback-lock,registry-cid-disjoint-file-overlap,agr-benchmark,compose-disjoint,layer2Adr,merge-with-tool,merge-with-tool,false,false,true,true,true,true
no-cid,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,block,false,false,false,false,true,true
no-shared-surface,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,admit-parallel,false,true,false,false,true,false
no-rw-dependency,registry-shared-surface-blocked,agr-benchmark,shared-surface,agrOff,block,block,false,false,false,false,true,true
